bank_txn_id,date,txn_type,amount_abs_rs,direction,channel,weekday,day_of_month,created_offline,amount_zscore,target_anomaly
BNK00001,2022-06-13,cash_deposit,13680.83,in,agency_banking_agent,0,13,0,-1.29,0
BNK00002,2022-06-13,qr_settlement,2528.0,in,LankaQR,0,13,0,-0.88,0
BNK00003,2022-06-13,card_settlement,432.0,in,POS_card,0,13,0,-1.16,0
BNK00004,2022-06-14,cash_deposit,18153.03,in,agency_banking_agent,1,14,0,-0.91,0
BNK00005,2022-06-14,qr_settlement,1666.0,in,LankaQR,1,14,0,-1.06,0
BNK00006,2022-06-14,card_settlement,383.0,in,POS_card,1,14,0,-1.18,0
BNK00007,2022-06-15,cash_deposit,12143.04,in,agency_banking_agent,2,15,0,-1.43,0
BNK00008,2022-06-15,qr_settlement,4964.0,in,LankaQR,2,15,0,-0.39,0
BNK00009,2022-06-15,card_settlement,1208.0,in,POS_card,2,15,0,-0.9,0
BNK00010,2022-06-16,supplier_payment,6923.07,out,bank_transfer,3,16,0,-0.64,0
BNK00011,2022-06-16,supplier_payment,3758.4,out,bank_transfer,3,16,0,-0.88,0
BNK00012,2022-06-16,cash_deposit,17148.14,in,agency_banking_agent,3,16,0,-1.0,0
BNK00013,2022-06-16,qr_settlement,544.0,in,LankaQR,3,16,0,-1.28,0
BNK00014,2022-06-17,cash_deposit,15603.17,in,agency_banking_agent,4,17,0,-1.13,0
BNK00015,2022-06-17,qr_settlement,4663.0,in,LankaQR,4,17,0,-0.45,0
BNK00016,2022-06-17,card_settlement,1478.0,in,POS_card,4,17,0,-0.81,0
BNK00017,2022-06-18,cash_deposit,27773.55,in,agency_banking_agent,5,18,0,-0.08,0
BNK00018,2022-06-18,qr_settlement,375.0,in,LankaQR,5,18,0,-1.32,0
BNK00019,2022-06-18,card_settlement,2703.0,in,POS_card,5,18,0,-0.4,0
BNK00020,2022-06-19,cash_deposit,22404.97,in,agency_banking_agent,6,19,0,-0.54,0
BNK00021,2022-06-19,qr_settlement,1542.0,in,LankaQR,6,19,0,-1.08,0
BNK00022,2022-06-20,supplier_payment,20222.84,out,bank_transfer,0,20,0,0.35,0
BNK00023,2022-06-20,supplier_payment,6443.22,out,bank_transfer,0,20,0,-0.68,0
BNK00024,2022-06-20,supplier_payment,3148.0,out,bank_transfer,0,20,0,-0.92,0
BNK00025,2022-06-20,supplier_payment,5660.32,out,bank_transfer,0,20,0,-0.74,1
BNK00026,2022-06-20,supplier_payment,3748.0,out,bank_transfer,0,20,0,-0.88,0
BNK00027,2022-06-20,cash_deposit,19774.25,in,agency_banking_agent,0,20,0,-0.77,0
BNK00028,2022-06-20,card_settlement,2510.0,in,POS_card,0,20,0,-0.46,0
BNK00029,2022-06-21,cash_deposit,18117.12,in,agency_banking_agent,1,21,0,-0.91,0
BNK00030,2022-06-21,card_settlement,950.0,in,POS_card,1,21,0,-0.99,0
BNK00031,2022-06-22,cash_deposit,22525.02,in,agency_banking_agent,2,22,0,-0.53,0
BNK00032,2022-06-22,qr_settlement,4784.0,in,LankaQR,2,22,0,-0.42,0
BNK00033,2022-06-22,card_settlement,1315.0,in,POS_card,2,22,0,-0.87,0
BNK00034,2022-06-23,supplier_payment,6771.66,out,bank_transfer,3,23,0,-0.65,0
