bank_txn_id,date,txn_type,amount_abs_rs,direction,channel,weekday,day_of_month,created_offline,amount_zscore,target_anomaly
BNK000001,2024-11-17,payment,24703.56,out,LankaQR,6,17,0,0.92,0
BNK000002,2024-03-02,payment,12775.58,out,LankaQR,5,2,0,-0.02,0
BNK000003,2023-11-18,cash_in,58517.77,in,agency_banking_agent,5,18,0,-0.87,0
BNK000004,2023-02-15,payment,9605.83,out,LankaQR,2,15,0,-0.27,0
BNK000005,2024-04-15,transfer,291562.0,out,bank_transfer,0,15,0,-0.38,0
BNK000006,2023-08-23,cash_out,390624.75,out,agency_banking_agent,2,23,0,0.18,0
BNK000007,2025-06-18,cash_out,19557.48,out,agency_banking_agent,2,18,0,-0.34,0
BNK000008,2024-04-04,payment,28757.42,out,LankaQR,3,4,1,1.24,0
BNK000009,2023-12-27,cash_in,257077.0,in,agency_banking_agent,2,27,0,0.7,0
BNK000010,2024-11-20,cash_in,8767.32,in,agency_banking_agent,2,20,0,-1.26,0
BNK000011,2023-02-25,payment,19962.11,out,LankaQR,5,25,0,0.55,0
BNK000012,2024-04-19,payment,5134.79,out,LankaQR,4,19,0,-0.63,0
BNK000013,2024-10-14,cash_in,56961.27,in,agency_banking_agent,0,14,0,-0.88,0
BNK000014,2025-07-05,payment,18116.72,out,LankaQR,5,5,0,0.4,0
BNK000015,2025-03-01,cash_in,89909.57,in,agency_banking_agent,5,1,0,-0.62,0
BNK000016,2025-06-30,payment,2099.02,out,LankaQR,0,30,0,-0.87,0
BNK000017,2023-10-23,cash_out,899782.7,out,agency_banking_agent,0,23,1,0.88,1
BNK000018,2025-06-10,cash_out,247737.26,out,agency_banking_agent,1,10,0,-0.02,0
BNK000019,2023-06-20,cash_out,111123.75,out,agency_banking_agent,1,20,1,-0.21,0
BNK000020,2025-06-17,payment,3856.53,out,LankaQR,1,17,0,-0.73,0
BNK000021,2023-12-09,payment,27477.51,out,LankaQR,5,9,0,1.14,0
BNK000022,2025-03-09,payment,12665.88,out,LankaQR,6,9,0,-0.03,0
BNK000023,2023-06-16,cash_in,163073.74,in,agency_banking_agent,4,16,0,-0.04,0
BNK000024,2023-11-21,cash_in,16649.04,in,agency_banking_agent,1,21,0,-1.2,0
BNK000025,2023-04-21,cash_out,250527.12,out,agency_banking_agent,4,21,0,-0.02,0
BNK000026,2024-12-27,cash_out,19735.35,out,agency_banking_agent,4,27,1,-0.34,0
BNK000027,2024-09-17,transfer,608290.12,out,bank_transfer,1,17,0,-0.22,1
BNK000028,2023-02-07,transfer,345328.58,out,bank_transfer,1,7,0,-0.35,0
