item,category,iso_year,iso_week,days_to_avurudu,festival_season,avg_wholesale_price_rs,avg_retail_price_rs,lag1_units,lag4_units,rolling4_mean_units,weekend_share,target_units_sold
Samba Rice (1),Grocery/Staple,2022,24,305,0,160.28,192.34,79,79,79,0.29,79
Samba Rice (1),Grocery/Staple,2022,25,298,0,163.6,196.32,79,80,79,0.29,80
Samba Rice (1),Grocery/Staple,2022,26,291,0,168.96,202.75,80,68,79.5,0.29,68
Samba Rice (1),Grocery/Staple,2022,27,284,0,174.32,209.18,68,81,75.7,0.29,81
Samba Rice (1),Grocery/Staple,2022,28,277,0,176.8,212.16,81,79,77,0.29,66
Samba Rice (1),Grocery/Staple,2022,29,270,0,179.89,215.87,66,80,73.8,0.29,76
Samba Rice (1),Grocery/Staple,2022,30,263,0,186.23,223.48,76,68,72.8,0.29,61
Samba Rice (1),Grocery/Staple,2022,31,256,0,188.97,226.76,61,81,71,0.29,70
Samba Rice (1),Grocery/Staple,2022,32,249,0,190.73,228.88,70,66,68.2,0.29,97
Samba Rice (1),Grocery/Staple,2022,33,242,0,200.17,240.2,97,76,76,0.29,81
Samba Rice (1),Grocery/Staple,2022,34,235,0,203.16,243.79,81,61,77.2,0.29,76
Samba Rice (1),Grocery/Staple,2022,35,228,0,206.1,247.32,76,70,81,0.29,67
Samba Rice (1),Grocery/Staple,2022,36,221,0,208.99,250.79,67,97,80.2,0.29,74
Samba Rice (1),Grocery/Staple,2022,37,214,0,214.24,257.09,74,81,74.5,0.29,79
Samba Rice (1),Grocery/Staple,2022,38,207,0,215.32,258.38,79,76,74,0.29,72
Samba Rice (1),Grocery/Staple,2022,39,200,0,220.45,264.54,72,67,73,0.29,63
Samba Rice (1),Grocery/Staple,2022,40,193,0,222.91,267.49,63,74,72,0.29,74
Samba Rice (1),Grocery/Staple,2022,41,186,0,226.99,272.39,74,79,72,0.29,62
Samba Rice (1),Grocery/Staple,2022,42,179,0,233.05,279.66,62,72,67.8,0.29,79
Samba Rice (1),Grocery/Staple,2022,43,172,0,233.11,279.73,79,63,69.5,0.29,55
Samba Rice (1),Grocery/Staple,2022,44,165,0,238.39,286.07,55,74,67.5,0.29,79
Samba Rice (1),Grocery/Staple,2022,45,158,0,240.25,288.3,79,62,68.8,0.29,70
Samba Rice (1),Grocery/Staple,2022,46,151,0,246.82,296.18,70,79,70.8,0.29,86
Samba Rice (1),Grocery/Staple,2022,47,144,0,250.49,300.59,86,55,72.5,0.29,82
Samba Rice (1),Grocery/Staple,2022,48,137,0,253.81,304.57,82,79,79.2,0.29,75
Samba Rice (1),Grocery/Staple,2022,49,130,0,258.49,310.19,75,70,78.2,0.29,66
Samba Rice (1),Grocery/Staple,2022,50,123,0,261.75,314.1,66,86,77.2,0.29,64
Samba Rice (1),Grocery/Staple,2022,51,116,0,260.91,313.09,64,82,71.8,0.29,61
Samba Rice (1),Grocery/Staple,2022,52,109,0,267.34,320.81,61,75,66.5,0.29,102
Samba Rice (1),Grocery/Staple,2023,1,102,0,275.04,330.05,102,66,73.2,0.29,89
Samba Rice (1),Grocery/Staple,2023,2,95,0,276.77,332.12,89,64,79,0.29,84
Samba Rice (1),Grocery/Staple,2023,3,88,0,278.79,334.55,84,61,84,0.29,80
Samba Rice (1),Grocery/Staple,2023,4,81,0,278.21,333.85,80,102,88.8,0.29,76
Samba Rice (1),Grocery/Staple,2023,5,74,0,285.56,342.67,76,89,82.2,0.29,69
Samba Rice (1),Grocery/Staple,2023,6,67,0,289.14,346.97,69,84,77.2,0.29,76
Samba Rice (1),Grocery/Staple,2023,7,60,0,291.85,350.22,76,80,75.2,0.29,62
Samba Rice (1),Grocery/Staple,2023,8,53,0,295.43,354.52,62,76,70.8,0.29,87
Samba Rice (1),Grocery/Staple,2023,9,46,0,296.64,355.97,87,69,73.5,0.29,78
