item,category,iso_year,iso_week,days_to_avurudu,festival_season,avg_wholesale_price_rs,avg_retail_price_rs,lag1_price,lag4_price,rolling4_mean_price,target_next_month_price,lag1_units,lag4_units,rolling4_mean_units,weekend_share,target_units_sold
Bananas,vegetables and fruits,2020,3,90,0,70.71,97.14,,,97.14,85.83,152,152,152.0,0.354,152
Bananas,vegetables and fruits,2020,7,59,0,57.5,85.83,97.14,,91.48,82.22,152,166,159.0,0.282,166
Bananas,vegetables and fruits,2020,11,30,1,54.44,82.22,85.83,,88.4,,166,158,158.7,0.344,158
Bananas,vegetables and fruits,2020,16,364,0,48.33,,82.22,,88.4,,158,154,157.5,0.306,154
Bananas,vegetables and fruits,2020,20,334,0,50.83,,,97.14,84.02,94.5,154,152,157.2,0.276,151
Bananas,vegetables and fruits,2020,25,303,0,60.4,94.5,,85.83,88.36,98.7,151,166,152.0,0.29,145
Bananas,vegetables and fruits,2020,29,273,0,59.78,98.7,94.5,82.22,96.6,130.36,145,158,144.8,0.301,129
Bananas,vegetables and fruits,2020,33,242,0,83.57,130.36,98.7,,107.85,123.33,129,154,148.5,0.262,169
Bananas,vegetables and fruits,2020,38,211,0,82.08,123.33,130.36,,111.72,123.33,169,151,146.0,0.203,141
Bananas,vegetables and fruits,2020,42,181,0,82.08,123.33,123.33,94.5,118.93,,141,145,147.5,0.249,151
Bananas,vegetables and fruits,2021,2,89,0,55.0,,123.33,98.7,125.67,151.39,151,129,147.0,0.298,127
Bananas,vegetables and fruits,2022,28,273,0,,151.39,,130.36,132.68,176.94,127,169,136.0,0.254,125
Bananas,vegetables and fruits,2022,33,242,0,,176.94,151.39,123.33,150.55,187.22,125,141,127.8,0.312,108
Bananas,vegetables and fruits,2022,37,211,0,,187.22,176.94,123.33,171.85,193.06,108,151,117.8,0.316,111
Bananas,vegetables and fruits,2022,41,181,0,,193.06,187.22,,177.15,182.5,111,127,118.8,0.215,131
Bananas,vegetables and fruits,2022,46,150,0,,182.5,193.06,151.39,184.93,164.17,131,125,120.2,0.28,131
Bananas,vegetables and fruits,2022,50,120,0,,164.17,182.5,176.94,181.74,268.71,131,108,122.5,0.254,117
Bananas,vegetables and fruits,2023,2,89,0,,268.71,164.17,187.22,202.11,168.33,117,111,118.0,0.371,93
Bananas,vegetables and fruits,2023,7,58,0,,168.33,268.71,193.06,195.93,247.5,93,131,109.5,0.228,97
Bananas,vegetables and fruits,2023,11,30,1,,247.5,168.33,182.5,212.18,278.75,97,131,110.5,0.358,135
Bananas,vegetables and fruits,2023,15,365,0,,278.75,247.5,164.17,240.82,83.57,135,117,100.5,0.225,77
Bananas,vegetables and fruits,2023,20,335,0,,83.57,278.75,268.71,194.54,148.84,77,93,115.0,0.298,151
Bananas,vegetables and fruits,2023,24,304,0,,148.84,83.57,168.33,189.67,158.71,151,97,125.8,0.234,140
Bananas,vegetables and fruits,2023,28,274,0,,158.71,148.84,247.5,167.47,196.46,140,135,126.8,0.36,139
Bananas,vegetables and fruits,2023,33,243,0,,196.46,158.71,278.75,146.89,217.69,139,77,142.0,0.401,138
Bananas,vegetables and fruits,2023,37,212,0,,217.69,196.46,83.57,180.42,203.63,138,151,135.8,0.327,126
Bananas,vegetables and fruits,2023,41,182,0,,203.63,217.69,148.84,194.12,203.79,126,140,129.2,0.329,114
Bananas,vegetables and fruits,2023,46,151,0,,203.79,203.63,158.71,205.39,193.63,114,139,127.0,0.376,130
Bananas,vegetables and fruits,2023,50,121,0,,193.63,203.79,196.46,204.69,207.12,130,138,117.8,0.221,101
Bananas,vegetables and fruits,2024,3,90,0,,207.12,193.63,217.69,202.04,187.35,101,126,113.2,0.321,108
Bananas,vegetables and fruits,2024,7,59,0,,187.35,207.12,203.63,197.97,182.63,108,114,109.2,0.287,98
Bananas,vegetables and fruits,2024,11,30,1,,182.63,187.35,203.79,192.68,203.83,98,130,109.5,0.378,131
Bananas,vegetables and fruits,2024,16,364,0,,203.83,182.63,193.63,195.23,169.6,131,101,111.0,0.253,107
Bananas,vegetables and fruits,2024,20,334,0,,169.6,203.83,207.12,185.85,166.08,107,108,110.2,0.306,105
Bananas,vegetables and fruits,2024,24,303,0,,166.08,169.6,187.35,180.53,196.96,105,98,110.2,0.306,98
Bananas,vegetables and fruits,2024,29,273,0,,196.96,166.08,182.63,184.12,210.72,98,131,111.8,0.379,137
Bananas,vegetables and fruits,2024,33,242,0,,210.72,196.96,203.83,185.84,223.33,137,107,111.2,0.296,105
Bananas,vegetables and fruits,2024,37,211,0,,223.33,210.72,169.6,199.27,191.95,105,105,107.8,0.307,91
Bananas,vegetables and fruits,2024,42,181,0,,191.95,223.33,166.08,205.74,161.55,91,98,103.5,0.319,81
Bananas,vegetables and fruits,2024,46,150,0,,161.55,191.95,196.96,196.89,156.72,81,137,102.2,0.286,132
Bananas,vegetables and fruits,2024,50,120,0,,156.72,161.55,210.72,183.39,178.28,132,105,107.8,0.257,127
Bananas,vegetables and fruits,2025,3,89,0,,178.28,156.72,223.33,172.13,165.74,127,91,118.8,0.325,135
Bananas,vegetables and fruits,2025,7,58,0,,165.74,178.28,191.95,165.57,159.5,135,81,133.5,0.392,140
Bananas,vegetables and fruits,2025,11,30,1,,159.5,165.74,161.55,165.06,161.8,140,132,138.5,0.255,152
Bananas,vegetables and fruits,2025,16,364,0,,161.8,159.5,156.72,166.33,138.72,152,127,141.8,0.24,140
Bananas,vegetables and fruits,2025,20,334,0,,138.72,161.8,178.28,156.44,132.08,140,135,143.0,0.389,140
Bananas,vegetables and fruits,2025,24,303,0,,132.08,138.72,165.74,148.03,136.91,140,140,140.5,0.24,130
Bananas,vegetables and fruits,2025,29,273,0,,136.91,132.08,159.5,142.38,143.24,130,152,137.2,0.251,139
Bananas,vegetables and fruits,2025,33,242,0,,143.24,136.91,161.8,137.74,157.11,139,140,132.5,0.372,121
Bananas,vegetables and fruits,2025,38,211,0,,157.11,143.24,138.72,142.33,,121,140,129.5,0.319,128
Beans,pulses and nuts,2020,3,90,0,260.72,296.07,,,296.07,229.67,72,72,72.0,0.34,72
Beans,pulses and nuts,2020,7,59,0,191.06,229.67,296.07,,262.87,138.28,72,89,80.5,0.317,89
Beans,pulses and nuts,2020,11,30,1,107.61,138.28,229.67,,221.34,115.0,89,113,91.3,0.305,113
Beans,pulses and nuts,2020,16,364,0,76.66,115.0,138.28,,194.76,122.17,113,76,87.5,0.423,76
Beans,pulses and nuts,2020,20,334,0,101.5,122.17,115.0,296.07,151.28,145.0,76,72,93.5,0.333,96
Beans,pulses and nuts,2020,25,303,0,116.5,145.0,122.17,229.67,130.11,154.44,96,89,93.5,0.315,89
Beans,pulses and nuts,2020,29,273,0,124.17,154.44,145.0,138.28,134.15,215.27,89,113,80.2,0.243,60
Beans,pulses and nuts,2020,33,242,0,185.98,215.27,154.44,115.0,159.22,232.46,60,76,83.8,0.371,90
Beans,pulses and nuts,2020,38,211,0,204.29,232.46,215.27,122.17,186.79,232.46,90,96,77.5,0.355,71
Beans,pulses and nuts,2020,42,181,0,180.12,232.46,232.46,145.0,208.65,,71,89,75.2,0.272,80
Beans,pulses and nuts,2020,46,150,0,220.0,,232.46,154.44,226.73,,80,60,83.5,0.323,93
Beans,pulses and nuts,2020,51,120,0,120.0,,,215.27,232.46,,93,90,84.0,0.28,92
Beans,pulses and nuts,2021,2,89,0,140.0,,,232.46,232.46,,92,71,84.5,0.194,73
Beans,pulses and nuts,2021,7,58,0,130.0,,,232.46,,,73,80,87.5,0.334,92
Beans,pulses and nuts,2021,11,30,1,185.0,,,,,,92,93,89.0,0.29,99
Beans,pulses and nuts,2021,15,364,0,45.0,,,,,527.86,99,92,86.0,0.327,80
Beans,pulses and nuts,2022,28,273,0,,527.86,,,527.86,376.92,80,73,79.5,0.242,47
Beans,pulses and nuts,2022,33,242,0,,376.92,527.86,,452.39,428.46,47,92,70.0,0.294,54
Beans,pulses and nuts,2022,37,211,0,,428.46,376.92,,444.41,525.2,54,99,61.8,0.218,66
Beans,pulses and nuts,2022,41,181,0,,525.2,428.46,,464.61,460.37,66,80,59.8,0.305,72
Beans,pulses and nuts,2022,46,150,0,,460.37,525.2,527.86,447.74,711.15,72,47,64.8,0.296,67
Beans,pulses and nuts,2022,50,120,0,,711.15,460.37,376.92,531.3,358.4,67,54,66.5,0.213,61
Beans,pulses and nuts,2023,2,89,0,,358.4,711.15,428.46,513.78,544.29,61,66,68.5,0.274,74
Beans,pulses and nuts,2023,7,58,0,,544.29,358.4,525.2,518.55,242.22,74,72,67.2,0.263,67
Beans,pulses and nuts,2023,11,30,1,,242.22,544.29,460.37,464.02,376.55,67,67,77.5,0.384,108
Beans,pulses and nuts,2023,15,365,0,,376.55,242.22,711.15,380.36,340.0,108,61,80.0,0.292,71
Beans,pulses and nuts,2023,20,335,0,,340.0,376.55,358.4,375.76,509.41,71,74,80.0,0.307,74
Beans,pulses and nuts,2023,24,304,0,,509.41,340.0,544.29,367.04,505.77,74,67,79.8,0.225,66
Beans,pulses and nuts,2023,28,274,0,,505.77,509.41,242.22,432.93,462.17,66,108,67.8,0.301,60
Beans,pulses and nuts,2023,33,243,0,,462.17,505.77,376.55,454.34,429.61,60,71,64.8,0.327,59
Beans,pulses and nuts,2023,37,212,0,,429.61,462.17,340.0,476.74,510.63,59,74,65.0,0.346,75
Beans,pulses and nuts,2023,41,182,0,,510.63,429.61,509.41,477.05,557.05,75,66,66.2,0.335,71
Beans,pulses and nuts,2023,46,151,0,,557.05,510.63,505.77,489.86,634.33,71,60,66.8,0.338,62
Beans,pulses and nuts,2023,50,121,0,,634.33,557.05,462.17,532.9,887.34,62,59,67.0,0.256,60
Beans,pulses and nuts,2024,3,90,0,,887.34,634.33,429.61,647.34,715.92,60,75,59.8,0.296,46
Beans,pulses and nuts,2024,7,59,0,,715.92,887.34,510.63,698.66,395.56,46,71,55.8,0.366,55
Beans,pulses and nuts,2024,11,30,1,,395.56,715.92,557.05,658.29,267.3,55,62,62.2,0.19,88
Beans,pulses and nuts,2024,16,364,0,,267.3,395.56,634.33,566.53,504.93,88,60,72.2,0.295,100
Beans,pulses and nuts,2024,20,334,0,,504.93,267.3,887.34,470.93,643.52,100,46,75.0,0.329,57
Beans,pulses and nuts,2024,24,303,0,,643.52,504.93,715.92,452.83,715.67,57,55,73.8,0.219,50
Beans,pulses and nuts,2024,29,273,0,,715.67,643.52,395.56,532.85,535.92,50,88,64.8,0.231,52
Beans,pulses and nuts,2024,33,242,0,,535.92,715.67,267.3,600.01,380.0,52,100,56.5,0.339,67
Beans,pulses and nuts,2024,37,211,0,,380.0,535.92,504.93,568.77,467.79,67,57,58.5,0.347,65
Beans,pulses and nuts,2024,42,181,0,,467.79,380.0,643.52,524.84,492.85,65,50,65.2,0.348,77
Beans,pulses and nuts,2024,46,150,0,,492.85,467.79,715.67,469.14,610.3,77,52,67.2,0.342,60
Beans,pulses and nuts,2024,50,120,0,,610.3,492.85,535.92,487.73,511.8,60,67,64.5,0.294,56
Beans,pulses and nuts,2025,3,89,0,,511.8,610.3,380.0,520.68,520.5,56,65,62.5,0.2,57
Beans,pulses and nuts,2025,7,58,0,,520.5,511.8,467.79,533.86,570.71,57,77,57.2,0.261,56
Beans,pulses and nuts,2025,11,30,1,,570.71,520.5,492.85,553.32,629.55,56,60,64.0,0.358,87
Beans,pulses and nuts,2025,16,364,0,,629.55,570.71,610.3,558.14,619.68,87,56,63.8,0.19,55
Beans,pulses and nuts,2025,20,334,0,,619.68,629.55,511.8,585.11,647.17,55,57,64.0,0.291,58
Beans,pulses and nuts,2025,24,303,0,,647.17,619.68,520.5,616.78,590.08,58,56,62.5,0.376,50
Beans,pulses and nuts,2025,29,273,0,,590.08,647.17,570.71,621.62,666.48,50,87,53.0,0.356,49
Beans,pulses and nuts,2025,33,242,0,,666.48,590.08,629.55,630.85,473.98,49,55,51.0,0.297,47
Beans,pulses and nuts,2025,38,211,0,,473.98,666.48,619.68,594.43,,47,58,50.5,0.298,56
Beans (mung),pulses and nuts,2023,24,304,0,,1307.09,,,1307.09,1075.4,151,151,151.0,0.303,151
Beans (mung),pulses and nuts,2023,28,274,0,,1075.4,1307.09,,1191.24,1071.37,151,176,163.5,0.269,176
Beans (mung),pulses and nuts,2023,33,243,0,,1071.37,1075.4,,1151.28,1023.5,176,204,177.0,0.277,204
Beans (mung),pulses and nuts,2023,37,212,0,,1023.5,1071.37,,1119.34,928.61,204,223,188.5,0.275,223
Beans (mung),pulses and nuts,2023,41,182,0,,928.61,1023.5,1307.09,1024.72,889.37,223,151,220.2,0.269,278
Beans (mung),pulses and nuts,2023,46,151,0,,889.37,928.61,1075.4,978.21,945.19,278,176,224.2,0.244,192
Beans (mung),pulses and nuts,2023,50,121,0,,945.19,889.37,1071.37,946.66,1088.73,192,204,236.5,0.283,253
Beans (mung),pulses and nuts,2024,3,90,0,,1088.73,945.19,1023.5,962.97,1098.8,253,223,235.0,0.296,217
Beans (mung),pulses and nuts,2024,7,59,0,,1098.8,1088.73,928.61,1005.52,1238.69,217,278,222.2,0.355,227
Beans (mung),pulses and nuts,2024,11,30,1,,1238.69,1098.8,889.37,1092.85,1379.17,227,192,237.0,0.342,251
Beans (mung),pulses and nuts,2024,16,364,0,,1379.17,1238.69,945.19,1201.35,1238.26,251,253,231.8,0.352,232
Beans (mung),pulses and nuts,2024,20,334,0,,1238.26,1379.17,1088.73,1238.73,1161.94,232,217,227.5,0.287,200
Beans (mung),pulses and nuts,2024,24,303,0,,1161.94,1238.26,1098.8,1254.51,999.45,200,227,217.2,0.289,186
Beans (mung),pulses and nuts,2024,29,273,0,,999.45,1161.94,1238.69,1194.7,921.2,186,251,210.8,0.282,225
Beans (mung),pulses and nuts,2024,33,242,0,,921.2,999.45,1379.17,1080.21,876.61,225,232,212.2,0.338,238
Beans (mung),pulses and nuts,2024,37,211,0,,876.61,921.2,1238.26,989.8,777.37,238,200,221.5,0.288,237
Beans (mung),pulses and nuts,2024,42,181,0,,777.37,876.61,1161.94,893.66,714.38,237,186,228.5,0.295,214
Beans (mung),pulses and nuts,2024,46,150,0,,714.38,777.37,999.45,822.39,698.16,214,225,235.5,0.359,253
Beans (mung),pulses and nuts,2024,50,120,0,,698.16,714.38,921.2,766.63,681.89,253,238,242.5,0.382,266
Beans (mung),pulses and nuts,2025,3,89,0,,681.89,698.16,876.61,717.95,689.87,266,237,245.2,0.374,248
Beans (mung),pulses and nuts,2025,7,58,0,,689.87,681.89,777.37,696.08,744.49,248,214,246.2,0.282,218
Beans (mung),pulses and nuts,2025,11,30,1,,744.49,689.87,714.38,703.6,815.33,218,253,262.0,0.311,316
Beans (mung),pulses and nuts,2025,16,364,0,,815.33,744.49,698.16,732.9,804.41,316,266,247.2,0.364,207
Beans (mung),pulses and nuts,2025,20,334,0,,804.41,815.33,681.89,763.53,791.82,207,248,249.8,0.287,258
Beans (mung),pulses and nuts,2025,24,303,0,,791.82,804.41,689.87,789.01,816.76,258,218,260.2,0.366,260
Beans (mung),pulses and nuts,2025,29,273,0,,816.76,791.82,744.49,807.08,848.02,260,316,239.5,0.266,233
Beans (mung),pulses and nuts,2025,33,242,0,,848.02,816.76,815.33,815.25,899.78,233,207,244.0,0.279,225
Beans (mung),pulses and nuts,2025,38,211,0,,899.78,848.02,804.41,839.1,,225,258,233.8,0.28,217
Cabbage,vegetables and fruits,2020,3,90,0,108.88,146.74,,,146.74,132.31,404,404,404.0,0.312,404
Cabbage,vegetables and fruits,2020,7,59,0,93.56,132.31,146.74,,139.52,110.33,404,442,423.0,0.288,442
Cabbage,vegetables and fruits,2020,11,30,1,76.44,110.33,132.31,,129.79,58.0,442,465,437.0,0.365,465
Cabbage,vegetables and fruits,2020,16,364,0,49.0,58.0,110.33,,111.84,55.92,465,424,433.8,0.269,424
Cabbage,vegetables and fruits,2020,20,334,0,38.71,55.92,58.0,146.74,89.14,103.78,424,404,405.2,0.256,290
Cabbage,vegetables and fruits,2020,25,303,0,69.4,103.78,55.92,132.31,82.01,100.9,290,442,373.0,0.33,313
Cabbage,vegetables and fruits,2020,29,273,0,67.85,100.9,103.78,110.33,79.65,122.77,313,465,335.5,0.326,315
Cabbage,vegetables and fruits,2020,33,242,0,90.45,122.77,100.9,58.0,95.84,117.08,315,424,331.0,0.313,406
Cabbage,vegetables and fruits,2020,38,211,0,84.46,117.08,122.77,55.92,111.13,117.08,406,290,353.2,0.269,379
Cabbage,vegetables and fruits,2020,42,181,0,80.29,117.08,117.08,103.78,114.46,,379,313,368.8,0.279,375
Cabbage,vegetables and fruits,2020,46,150,0,35.0,,117.08,100.9,118.98,,375,315,395.5,0.268,422
Cabbage,vegetables and fruits,2020,51,120,0,25.0,,,122.77,117.08,,422,406,370.0,0.254,304
Cabbage,vegetables and fruits,2021,2,89,0,40.0,,,117.08,117.08,,304,379,365.2,0.318,360
Cabbage,vegetables and fruits,2021,7,58,0,57.5,,,117.08,,,360,375,339.5,0.258,272
Cabbage,vegetables and fruits,2021,11,30,1,77.5,,,,,,272,422,362.0,0.308,512
Cabbage,vegetables and fruits,2021,15,364,0,75.0,,,,,360.0,512,304,394.0,0.263,432
Cabbage,vegetables and fruits,2022,28,273,0,,360.0,,,360.0,508.57,432,360,373.2,0.275,277
Cabbage,vegetables and fruits,2022,33,242,0,,508.57,360.0,,434.28,481.15,277,272,361.5,0.313,225
Cabbage,vegetables and fruits,2022,37,211,0,,481.15,508.57,,449.91,340.77,225,512,300.0,0.282,266
Cabbage,vegetables and fruits,2022,41,181,0,,340.77,481.15,,422.62,320.67,266,432,256.5,0.239,258
Cabbage,vegetables and fruits,2022,46,150,0,,320.67,340.77,360.0,412.79,107.0,258,277,252.2,0.343,260
Cabbage,vegetables and fruits,2022,50,120,0,,107.0,320.67,508.57,312.4,167.5,260,225,296.5,0.35,402
Cabbage,vegetables and fruits,2023,2,89,0,,167.5,107.0,481.15,233.98,48.0,402,266,316.0,0.294,344
Cabbage,vegetables and fruits,2023,7,58,0,,48.0,167.5,340.77,160.79,160.74,344,258,342.5,0.197,364
Cabbage,vegetables and fruits,2023,11,30,1,,160.74,48.0,320.67,120.81,267.14,364,260,419.2,0.318,567
Cabbage,vegetables and fruits,2023,15,365,0,,267.14,160.74,107.0,160.84,313.0,567,402,388.2,0.264,278
Cabbage,vegetables and fruits,2023,20,335,0,,313.0,267.14,167.5,197.22,363.7,278,344,374.8,0.361,290
Cabbage,vegetables and fruits,2023,24,304,0,,363.7,313.0,48.0,276.15,300.02,290,364,352.8,0.271,276
Cabbage,vegetables and fruits,2023,28,274,0,,300.02,363.7,160.74,310.97,264.4,276,567,278.8,0.255,271
Cabbage,vegetables and fruits,2023,33,243,0,,264.4,300.02,267.14,310.28,200.49,271,278,279.8,0.311,282
Cabbage,vegetables and fruits,2023,37,212,0,,200.49,264.4,313.0,282.15,217.26,282,290,297.8,0.265,362
Cabbage,vegetables and fruits,2023,41,182,0,,217.26,200.49,363.7,245.54,329.79,362,276,323.0,0.271,377
Cabbage,vegetables and fruits,2023,46,151,0,,329.79,217.26,300.02,252.99,495.31,377,271,323.0,0.426,271
Cabbage,vegetables and fruits,2023,50,121,0,,495.31,329.79,264.4,310.71,683.62,271,282,311.8,0.259,237
Cabbage,vegetables and fruits,2024,3,90,0,,683.62,495.31,200.49,431.5,575.8,237,362,280.0,0.316,235
Cabbage,vegetables and fruits,2024,7,59,0,,575.8,683.62,217.26,521.13,477.77,235,377,257.8,0.303,288
Cabbage,vegetables and fruits,2024,11,30,1,,477.77,575.8,329.79,558.13,277.23,288,271,283.8,0.225,375
Cabbage,vegetables and fruits,2024,16,364,0,,277.23,477.77,495.31,503.61,223.7,375,237,313.2,0.269,355
Cabbage,vegetables and fruits,2024,20,334,0,,223.7,277.23,683.62,388.62,285.97,355,235,329.8,0.338,301
Cabbage,vegetables and fruits,2024,24,303,0,,285.97,223.7,575.8,316.17,375.69,301,288,328.8,0.295,284
Cabbage,vegetables and fruits,2024,29,273,0,,375.69,285.97,477.77,290.65,353.52,284,375,306.2,0.264,285
Cabbage,vegetables and fruits,2024,33,242,0,,353.52,375.69,277.23,309.72,311.71,285,355,292.5,0.264,300
Cabbage,vegetables and fruits,2024,37,211,0,,311.71,353.52,223.7,331.72,244.5,300,301,288.2,0.29,284
Cabbage,vegetables and fruits,2024,42,181,0,,244.5,311.71,285.97,321.36,223.87,284,284,291.0,0.298,295
Cabbage,vegetables and fruits,2024,46,150,0,,223.87,244.5,375.69,283.4,290.11,295,285,310.2,0.374,362
Cabbage,vegetables and fruits,2024,50,120,0,,290.11,223.87,353.52,267.55,271.04,362,300,318.0,0.351,331
Cabbage,vegetables and fruits,2025,3,89,0,,271.04,290.11,311.71,257.38,392.24,331,284,307.0,0.207,240
Cabbage,vegetables and fruits,2025,7,58,0,,392.24,271.04,244.5,294.32,378.28,240,295,291.2,0.35,232
Cabbage,vegetables and fruits,2025,11,30,1,,378.28,392.24,223.87,332.92,418.42,232,362,264.0,0.277,253
Cabbage,vegetables and fruits,2025,16,364,0,,418.42,378.28,290.11,365.0,522.83,253,331,236.2,0.33,220
Cabbage,vegetables and fruits,2025,20,334,0,,522.83,418.42,271.04,427.95,469.67,220,240,239.0,0.306,251
Cabbage,vegetables and fruits,2025,24,303,0,,469.67,522.83,392.24,447.3,350.61,251,232,247.0,0.311,264
Cabbage,vegetables and fruits,2025,29,273,0,,350.61,469.67,378.28,440.39,306.84,264,253,254.8,0.285,284
Cabbage,vegetables and fruits,2025,33,242,0,,306.84,350.61,418.42,412.49,273.57,284,220,274.0,0.182,297
Cabbage,vegetables and fruits,2025,38,211,0,,273.57,306.84,522.83,350.17,,297,251,296.5,0.434,341
Carrots,vegetables and fruits,2020,3,90,0,363.36,397.52,,,397.52,275.11,181,181,181.0,0.256,181
Carrots,vegetables and fruits,2020,7,59,0,240.8,275.11,397.52,,336.32,173.38,181,240,210.5,0.287,240
Carrots,vegetables and fruits,2020,11,30,1,140.33,173.38,275.11,,282.01,90.5,240,337,252.7,0.166,337
Carrots,vegetables and fruits,2020,16,364,0,98.08,90.5,173.38,,234.13,85.17,337,275,258.2,0.281,275
Carrots,vegetables and fruits,2020,20,334,0,61.2,85.17,90.5,397.52,156.04,150.18,275,181,263.5,0.194,202
Carrots,vegetables and fruits,2020,25,303,0,122.92,150.18,85.17,275.11,124.81,126.96,202,240,271.0,0.3,270
Carrots,vegetables and fruits,2020,29,273,0,98.83,126.96,150.18,173.38,113.2,127.91,270,337,243.8,0.304,228
Carrots,vegetables and fruits,2020,33,242,0,98.88,127.91,126.96,90.5,122.55,146.0,228,275,238.0,0.247,252
