item,category,iso_year,iso_week,current_price_rs,price_change_4wk_pct,price_vs_3mo_avg_pct,days_to_festival,festival_season,expected_price_next_4wk_rs,target_buy_now
Samba Rice (1),Grocery/Staple,2022,24,160.28,0.0,0.0,305,0,170.92,1
Samba Rice (1),Grocery/Staple,2022,25,163.6,0.0,1.03,298,0,174.99,1
Samba Rice (1),Grocery/Staple,2022,26,168.96,0.0,2.85,291,0,179.31,1
Samba Rice (1),Grocery/Staple,2022,27,174.32,0.0,4.51,284,0,182.97,1
Samba Rice (1),Grocery/Staple,2022,28,176.8,10.31,4.74,277,0,186.45,1
Samba Rice (1),Grocery/Staple,2022,29,179.89,9.95,5.42,270,0,191.52,1
Samba Rice (1),Grocery/Staple,2022,30,186.23,10.22,7.73,263,0,195.76,1
Samba Rice (1),Grocery/Staple,2022,31,188.97,8.4,8.05,256,0,200.04,1
Samba Rice (1),Grocery/Staple,2022,32,190.73,7.88,7.97,249,0,204.61,1
Samba Rice (1),Grocery/Staple,2022,33,200.17,11.28,11.83,242,0,208.12,1
Samba Rice (1),Grocery/Staple,2022,34,203.16,9.09,12.13,235,0,211.16,1
Samba Rice (1),Grocery/Staple,2022,35,206.1,9.07,12.46,228,0,214.75,1
Samba Rice (1),Grocery/Staple,2022,36,208.99,9.58,12.82,221,0,218.23,1
Samba Rice (1),Grocery/Staple,2022,37,214.24,7.03,13.12,214,0,221.42,1
Samba Rice (1),Grocery/Staple,2022,38,215.32,5.98,11.35,207,0,225.85,1
Samba Rice (1),Grocery/Staple,2022,39,220.45,6.96,11.71,200,0,229.01,1
Samba Rice (1),Grocery/Staple,2022,40,222.91,6.66,10.86,193,0,232.88,1
Samba Rice (1),Grocery/Staple,2022,41,226.99,5.95,10.76,186,0,236.2,1
Samba Rice (1),Grocery/Staple,2022,42,233.05,8.23,11.49,179,0,239.64,1
Samba Rice (1),Grocery/Staple,2022,43,233.11,5.74,9.63,172,0,243.99,1
