item,category,iso_year,iso_week,current_price_rs,price_change_4wk_pct,price_vs_3mo_avg_pct,days_to_festival,festival_season,expected_price_next_4wk_rs,target_buy_now
Ash Plantains,Low Country,2023,1,192.25,,0.0,102,0,201.55,1
Ash Plantains,Low Country,2023,2,201.55,,2.36,95,0,198.17,0
Ash Plantains,Low Country,2023,3,194.8,,-0.72,88,0,196.23,1
Ash Plantains,Low Country,2023,4,192.35,,-1.48,81,0,194.83,1
Ash Plantains,Low Country,2023,5,190.62,-0.85,-1.9,74,0,191.45,1
Ash Plantains,Low Country,2023,6,188.04,-6.7,-2.7,67,0,190.56,1
Ash Plantains,Low Country,2023,7,191.22,-1.83,-0.91,60,0,190.02,0
Ash Plantains,Low Country,2023,8,190.2,-1.11,-1.26,53,0,190.15,0
Ash Plantains,Low Country,2023,9,191.12,0.27,-0.7,46,0,188.69,0
Ash Plantains,Low Country,2023,10,182.19,-3.11,-4.83,39,1,185.42,1
Ash Plantains,Low Country,2023,11,178.16,-6.83,-6.34,32,1,182.08,1
Ash Plantains,Low Country,2023,12,176.84,-7.03,-6.49,25,1,177.02,1
Ash Plantains,Low Country,2023,13,170.9,-10.58,-8.96,18,1,171.41,1
Ash Plantains,Low Country,2023,14,159.74,-12.32,-13.75,11,1,165.71,1
Ash Plantains,Low Country,2023,15,155.36,-12.8,-14.48,4,1,160.84,1
Ash Plantains,Low Country,2023,16,157.36,-11.02,-11.98,363,0,154.63,0
Ash Plantains,Low Country,2023,17,146.07,-14.53,-16.63,356,0,151.25,1
Ash Plantains,Low Country,2023,18,146.22,-8.46,-14.89,349,0,150.12,1
Ash Plantains,Low Country,2023,19,150.83,-2.91,-10.72,342,0,150.04,0
Ash Plantains,Low Country,2023,20,157.02,-0.21,-5.58,335,0,151.68,0
Ash Plantains,Low Country,2023,21,152.65,4.51,-6.59,328,0,153.68,1
Ash Plantains,Low Country,2023,22,154.23,5.48,-3.96,321,0,155.22,1
Ash Plantains,Low Country,2023,23,156.99,4.08,-1.04,314,0,155.34,0
Ash Plantains,Low Country,2023,24,157.5,0.3,0.28,307,0,157.23,0
Ash Plantains,Low Country,2023,25,160.2,4.95,2.84,300,0,161.42,1
Ash Plantains,Low Country,2023,26,170.97,10.86,9.75,293,0,162.67,0
Ash Plantains,Low Country,2023,27,162.0,3.19,3.88,286,0,161.66,0
Ash Plantains,Low Country,2023,28,153.49,-2.55,-1.49,279,0,161.13,1
Ash Plantains,Low Country,2023,29,158.06,-1.34,1.41,272,0,157.27,0
Ash Plantains,Low Country,2023,30,155.54,-9.03,-0.67,265,0,156.31,1
Ash Plantains,Low Country,2023,31,158.14,-2.38,0.4,258,0,158.13,0
Ash Plantains,Low Country,2023,32,160.77,4.74,1.57,251,0,159.82,0
Ash Plantains,Low Country,2023,33,164.85,4.29,3.76,244,0,161.84,0
Ash Plantains,Low Country,2023,34,163.62,5.2,2.44,237,0,163.43,0
Ash Plantains,Low Country,2023,35,164.5,4.02,2.49,230,0,164.86,1
Ash Plantains,Low Country,2023,36,166.48,3.55,3.25,223,0,166.97,1
Ash Plantains,Low Country,2023,37,173.27,5.11,6.66,216,0,169.48,0
Ash Plantains,Low Country,2023,38,173.67,6.14,6.23,209,0,173.0,0
Ash Plantains,Low Country,2023,39,178.57,8.55,8.84,202,0,177.55,0
Ash Plantains,Low Country,2023,40,184.69,10.94,11.38,195,0,181.4,0
Ash Plantains,Low Country,2023,41,188.67,8.89,11.96,188,0,186.25,0
Ash Plantains,Low Country,2023,42,193.06,11.16,12.76,181,0,191.79,0
Ash Plantains,Low Country,2023,43,200.74,12.41,14.91,174,0,197.43,0
Ash Plantains,Low Country,2023,44,207.24,12.21,16.12,167,0,206.08,0
Ash Plantains,Low Country,2023,45,223.27,18.33,21.82,160,0,215.62,0
Ash Plantains,Low Country,2023,46,231.22,19.77,22.74,153,0,228.1,0
Ash Plantains,Low Country,2023,47,250.67,24.88,28.5,146,0,241.04,0
Ash Plantains,Low Country,2023,48,259.0,24.97,28.0,139,0,250.37,0
Ash Plantains,Low Country,2023,49,260.56,16.7,24.32,132,0,257.87,0
Ash Plantains,Low Country,2023,50,261.22,12.97,20.74,125,0,260.63,0
Ash Plantains,Low Country,2023,51,261.73,4.41,17.3,118,0,261.4,0
Ash Plantains,Low Country,2023,52,262.1,1.2,14.18,111,0,261.37,0
Ash Plantains,Low Country,2024,1,260.43,-0.05,10.64,104,0,262.85,1
Ash Plantains,Low Country,2024,2,267.14,2.27,10.66,97,0,266.57,0
Ash Plantains,Low Country,2024,3,276.63,5.69,11.62,90,0,270.31,0
Ash Plantains,Low Country,2024,4,277.05,5.7,9.2,83,0,274.62,0
Ash Plantains,Low Country,2024,5,277.67,6.62,7.15,76,0,275.38,0
Ash Plantains,Low Country,2024,6,270.19,1.14,2.83,69,0,273.99,1
Ash Plantains,Low Country,2024,7,271.05,-2.02,1.98,62,0,270.34,0
Ash Plantains,Low Country,2024,8,262.45,-5.27,-1.6,55,0,264.85,1
Ash Plantains,Low Country,2024,9,255.71,-7.91,-4.03,48,0,257.25,1
Ash Plantains,Low Country,2024,10,239.8,-11.25,-9.46,41,1,245.82,1
Ash Plantains,Low Country,2024,11,225.31,-16.88,-14.04,34,1,226.32,1
Ash Plantains,Low Country,2024,12,184.46,-29.72,-27.99,27,1,202.64,1
Ash Plantains,Low Country,2024,13,161.0,-37.04,-35.18,20,1,177.79,1
Ash Plantains,Low Country,2024,14,140.41,-41.45,-41.29,13,1,155.8,1
Ash Plantains,Low Country,2024,15,137.32,-39.05,-40.08,6,1,142.63,1
Ash Plantains,Low Country,2024,16,131.79,-28.55,-39.55,364,0,132.48,1
Ash Plantains,Low Country,2024,17,120.38,-25.23,-41.55,357,0,127.69,1
Ash Plantains,Low Country,2024,18,121.27,-13.63,-37.47,350,0,122.0,1
Ash Plantains,Low Country,2024,19,114.57,-16.57,-37.04,343,0,116.44,1
Ash Plantains,Low Country,2024,20,109.56,-16.87,-35.38,336,0,116.97,1
Ash Plantains,Low Country,2024,21,122.5,1.76,-22.85,329,0,120.89,0
Ash Plantains,Low Country,2024,22,136.92,12.91,-8.5,322,0,132.07,0
Ash Plantains,Low Country,2024,23,159.3,39.05,11.05,315,0,149.66,0
Ash Plantains,Low Country,2024,24,179.93,64.23,28.56,308,0,164.54,0
Ash Plantains,Low Country,2024,25,182.0,48.57,30.22,301,0,177.02,0
Ash Plantains,Low Country,2024,26,186.84,36.46,31.8,294,0,188.07,1
Ash Plantains,Low Country,2024,27,203.49,27.74,38.8,287,0,193.44,0
Ash Plantains,Low Country,2024,28,201.44,11.95,32.93,280,0,198.14,0
Ash Plantains,Low Country,2024,29,200.79,10.32,28.02,273,0,203.4,1
Ash Plantains,Low Country,2024,30,207.86,11.25,27.07,266,0,202.2,0
Ash Plantains,Low Country,2024,31,198.69,-2.36,17.2,259,0,199.98,1
Ash Plantains,Low Country,2024,32,192.57,-4.4,9.71,252,0,194.49,1
