shop_id,year_month,monthly_revenue_rs,monthly_expenses_rs,monthly_profit_rs,profit_margin_pct,avg_daily_txns,credit_sales_ratio,digital_payment_ratio,sales_volatility,stockout_rate,months_active,target_credit_ready
SHOP001,2023-01,670971,572041,89949,14.1,39,0.049,0.232,0.243,0.11,1,0
SHOP001,2023-02,712338,563882,117265,17.0,64,0.192,0.284,0.219,0.069,2,1
SHOP001,2023-03,526062,480271,63030,12.1,46,0.12,0.242,0.175,0.075,3,0
SHOP001,2023-04,666138,619976,112211,15.9,35,0.026,0.27,0.116,0.072,4,0
SHOP001,2023-05,504379,463725,82305,15.0,42,0.28,0.232,0.27,0.037,5,0
SHOP001,2023-06,641873,480330,98535,14.9,61,0.12,0.185,0.232,0.052,6,0
SHOP001,2023-07,594309,604758,106127,15.4,56,0.163,0.205,0.25,0.073,7,0
SHOP001,2023-08,604736,535789,77986,12.1,56,0.154,0.258,0.304,0.066,8,0
SHOP001,2023-09,673251,565588,98342,15.9,50,0.124,0.205,0.148,0.065,9,1
SHOP001,2023-10,676900,532865,124978,17.7,56,0.154,0.27,0.205,0.1,10,1
SHOP001,2023-11,510550,401704,105806,20.7,62,0.128,,0.269,0.043,11,1
SHOP001,2023-12,618865,494421,108072,18.3,55,0.122,0.191,0.196,0.088,12,1
SHOP001,2024-01,654655,510153,116283,19.3,37,0.077,0.274,0.289,0.068,13,0
SHOP001,2024-02,608180,480174,109623,17.2,44,0.193,0.185,0.195,0.096,14,0
SHOP001,2024-03,673976,532286,147962,23.2,61,0.166,0.189,0.163,0.084,15,1
SHOP001,2024-04,601669,519991,120870,18.9,52,0.111,0.328,0.153,0.063,16,1
SHOP001,2024-05,747151,583677,113443,17.0,49,0.024,0.199,0.172,0.061,17,1
SHOP001,2024-06,762409,580789,113906,16.0,42,0.099,0.241,0.22,0.103,18,1
SHOP001,2024-07,479631,392004,90642,19.3,52,0.188,0.226,0.167,0.04,19,1
SHOP001,2024-08,852823,716812,144158,15.6,36,0.076,0.113,0.304,0.083,20,0
SHOP001,2024-09,446320,323641,109106,26.6,48,0.171,0.263,0.188,0.013,21,1
SHOP001,2024-10,716442,598590,61522,8.9,39,0.07,0.296,0.304,0.041,22,1
SHOP001,2024-11,661787,663000,89260,11.8,56,0.081,0.2,,0.056,23,1
SHOP001,2024-12,871659,754968,117085,14.5,37,0.109,0.186,0.202,0.037,24,1
SHOP001,2025-01,709716,633038,144854,18.2,45,0.182,0.247,0.165,0.079,25,1
SHOP001,2025-02,408019,382378,44531,11.5,47,0.115,0.242,0.174,0.12,26,1
SHOP001,2025-03,766713,645256,93940,13.0,47,0.017,0.272,0.168,0.116,27,1
SHOP001,2025-04,635782,623982,59395,9.8,54,0.151,0.201,0.161,0.064,28,1
SHOP001,2025-05,706246,632768,77556,9.9,37,0.086,0.116,0.195,0.095,29,1
SHOP001,2025-06,600597,525527,115334,18.4,57,0.074,0.193,0.165,0.129,30,1
SHOP001,2025-07,619012,509031,97126,15.5,45,0.125,,0.18,0.039,31,1
SHOP001,2025-08,567948,535659,108288,15.6,49,0.105,0.238,0.227,0.057,32,1
SHOP001,2025-09,476325,435404,61990,12.4,45,0.065,0.182,0.26,0.006,33,1
SHOP001,2025-10,517648,472509,88113,15.0,48,0.172,0.239,0.212,0.058,34,1
SHOP001,2025-11,586612,445481,68604,13.2,50,0.052,0.179,0.122,0.11,35,1
SHOP001,2025-12,752675,714899,102107,13.9,41,0.153,0.275,0.104,0.03,36,1
SHOP002,2023-01,905142,724766,158141,18.9,49,0.057,0.287,0.123,0.0,1,0
SHOP002,2023-02,857873,585319,202962,27.2,52,0.213,0.298,0.044,0.039,2,1
SHOP002,2023-03,803298,700780,129200,17.2,57,0.124,0.342,0.05,0.035,3,1
SHOP002,2023-04,791807,609323,136943,19.0,63,0.086,0.286,0.088,0.097,4,1
SHOP002,2023-05,524513,433575,95680,16.8,60,0.118,0.25,0.217,0.04,5,0
SHOP002,2023-06,723995,601989,184803,20.4,63,0.057,0.393,0.092,0.023,6,1
SHOP002,2023-07,698661,558183,148452,22.0,67,0.137,0.226,0.173,0.108,7,1
SHOP002,2023-08,700913,502479,125798,18.6,62,0.019,0.302,0.124,0.047,8,1
SHOP002,2023-09,574696,451451,117059,20.3,53,0.023,0.293,0.136,0.041,9,1
SHOP002,2023-10,1058388,854348,169097,17.3,64,0.07,0.371,0.179,0.074,10,0
SHOP002,2023-11,722865,472230,113014,18.9,62,0.102,,0.159,0.044,11,1
SHOP002,2023-12,812758,635213,158142,20.1,63,0.06,0.274,0.096,0.084,12,1
SHOP002,2024-01,922034,757519,180981,19.2,55,0.077,0.348,0.085,0.045,13,1
SHOP002,2024-02,760731,510382,124386,17.9,68,0.097,0.383,0.107,0.023,14,1
SHOP002,2024-03,770842,678035,130236,17.2,52,0.072,0.224,0.174,0.036,15,1
SHOP002,2024-04,814718,612057,262541,30.0,58,0.097,0.297,0.15,0.099,16,1
SHOP002,2024-05,905488,747319,121024,15.5,62,0.083,0.29,0.068,0.077,17,1
SHOP002,2024-06,614232,529233,78383,12.0,50,0.101,0.31,0.041,0.049,18,1
SHOP002,2024-07,783376,660049,155738,20.4,61,0.088,0.323,,0.04,19,1
SHOP002,2024-08,842178,612374,163934,20.6,79,0.159,0.186,0.169,0.045,20,1
SHOP002,2024-09,562629,449483,96673,20.9,55,0.051,0.365,0.077,0.048,21,1
SHOP002,2024-10,743595,626162,92534,12.0,56,0.1,0.365,0.144,0.021,22,1
SHOP002,2024-11,794249,589676,149996,18.6,51,0.147,0.259,0.107,0.0,23,1
SHOP002,2024-12,666432,495305,105590,17.1,58,0.167,0.305,0.149,0.117,24,1
SHOP002,2025-01,785888,699015,125203,16.7,64,0.159,0.253,0.117,0.003,25,0
SHOP002,2025-02,783906,626242,131973,18.2,54,0.046,0.362,0.205,0.053,26,0
SHOP002,2025-03,811985,558396,195581,25.6,53,0.054,0.276,0.095,0.018,27,1
SHOP002,2025-04,893786,793445,168727,17.7,53,0.051,0.234,0.149,0.05,28,1
SHOP002,2025-05,810743,591228,169125,21.4,,0.108,0.325,0.127,0.061,29,1
SHOP002,2025-06,633854,501340,113124,17.6,59,0.14,0.302,0.249,0.05,30,1
SHOP002,2025-07,576917,487634,87539,14.1,65,0.188,0.347,0.181,0.08,31,1
SHOP002,2025-08,718274,595759,132844,17.8,56,0.126,0.297,0.064,0.044,32,1
SHOP002,2025-09,625304,546965,101639,15.2,60,0.06,,0.142,0.056,33,1
SHOP002,2025-10,897581,706979,210374,24.3,65,0.0,0.383,0.142,0.042,34,0
SHOP002,2025-11,1050603,763642,211818,23.2,43,0.025,0.339,0.207,0.047,35,1
SHOP002,2025-12,706213,685127,102492,16.6,55,0.168,0.303,0.123,0.042,36,1
SHOP003,2023-01,250431,177165,31517,13.4,13,0.068,0.214,0.171,0.098,1,0
SHOP003,2023-02,589875,253164,28425,10.0,28,0.261,0.186,0.229,0.07,2,0
SHOP003,2023-03,244906,258950,23703,8.5,13,0.112,0.219,0.209,0.056,3,0
SHOP003,2023-04,274325,227022,28730,11.1,26,0.139,0.328,0.338,0.061,4,0
SHOP003,2023-05,248635,198862,41716,16.8,30,0.121,,0.236,0.089,5,1
SHOP003,2023-06,196854,174534,24769,12.1,19,0.098,0.229,0.256,0.118,6,0
SHOP003,2023-07,269230,229476,39865,14.3,15,0.163,0.123,0.232,0.071,7,0
SHOP003,2023-08,254244,242488,30878,10.2,19,0.052,0.064,0.204,0.125,8,0
SHOP003,2023-09,234070,179323,31021,15.1,13,0.221,0.247,0.262,0.098,9,0
SHOP003,2023-10,236305,227980,27445,11.8,26,0.141,0.169,0.274,0.135,10,0
SHOP003,2023-11,269682,225853,21022,7.7,17,0.132,0.215,0.163,0.129,11,0
SHOP003,2023-12,254833,233830,22735,10.2,22,0.241,0.13,0.297,0.075,12,0
SHOP003,2024-01,237091,201150,35774,15.0,16,0.235,0.146,0.244,0.12,13,0
SHOP003,2024-02,211689,172746,36829,15.3,25,0.16,0.249,0.262,0.056,14,0
SHOP003,2024-03,284058,243638,55448,17.2,12,0.167,0.161,0.294,0.097,15,0
SHOP003,2024-04,306021,304507,39410,12.3,23,0.144,0.171,0.129,0.076,16,0
SHOP003,2024-05,278401,232652,16871,7.1,17,0.199,0.224,0.303,0.131,17,0
SHOP003,2024-06,276933,209973,54453,20.1,32,0.053,0.177,0.193,0.109,18,0
SHOP003,2024-07,214425,172081,26799,14.4,25,0.123,0.111,0.284,0.076,19,1
SHOP003,2024-08,291142,266319,28445,9.7,10,0.19,0.098,0.331,0.081,20,0
SHOP003,2024-09,278238,258285,32211,10.1,18,0.113,0.202,0.226,0.0,21,1
SHOP003,2024-10,290028,215475,50884,16.3,26,0.103,0.316,0.271,0.101,22,0
SHOP003,2024-11,260420,222318,32161,11.7,23,0.189,0.209,0.123,0.059,23,1
SHOP003,2024-12,287161,230120,39604,15.4,24,0.145,0.267,0.197,0.08,24,1
