shop_id,year_month,months_active,monthly_revenue_rs,monthly_expenses_rs,monthly_profit_rs,profit_margin_pct,avg_daily_txns,sales_volatility,credit_sales_ratio,digital_payment_ratio,stockout_rate,target_credit_ready
SHOP_0000,2025-01,29,37994,25087,12907,33.97,1.58,4.413,0.167,0.845,0.66,0
SHOP_0001,2025-01,15,156402,134436,21966,14.04,4.36,4.45,0.48,0.066,0.116,0
SHOP_0002,2025-01,8,50253,34765,15488,30.82,0.68,4.793,0.26,0.147,0.205,0
SHOP_0003,2025-01,21,128752,78753,49999,38.83,12.73,4.352,0.2,0.097,0.106,0
SHOP_0004,2025-01,19,94571,66858,27713,29.3,6.67,0.11,0.261,0.804,0.555,1
SHOP_0005,2025-01,23,264800,120523,144277,54.49,19.48,1.963,0.389,0.03,0.043,1
SHOP_0006,2025-01,11,62541,41026,21515,34.4,4.28,4.111,0.17,0.821,0.057,0
SHOP_0007,2025-01,11,57267,44862,12405,21.66,7.24,1.895,0.089,0.44,0.209,0
SHOP_0008,2025-01,24,72143,41176,30967,42.92,7.48,3.048,0.292,0.024,0.36,1
SHOP_0009,2025-01,36,59147,52620,6527,11.03,0.66,3.071,0.333,0.394,0.284,1
SHOP_0010,2025-01,24,128022,99372,28650,22.38,16.86,1.889,0.356,0.194,0.031,1
SHOP_0011,2025-01,3,23590,18780,4810,20.39,1.12,4.532,0.441,0.601,0.67,0
SHOP_0012,2025-01,22,34976,26272,8704,24.89,18.83,2.566,0.186,0.652,0.667,0
SHOP_0013,2025-01,2,34632,19590,15042,43.43,17.9,2.377,0.038,0.473,0.196,1
SHOP_0014,2025-01,24,142232,102889,39343,27.66,10.94,4.988,0.479,0.058,0.512,0
SHOP_0015,2025-01,30,242178,135419,106759,44.08,11.1,2.518,0.218,0.63,0.405,1
SHOP_0016,2025-01,2,67974,45846,22128,32.55,13.25,0.974,0.312,0.803,0.166,0
SHOP_0017,2025-01,21,64979,51899,13080,20.13,8.05,2.614,0.333,0.69,0.184,0
